name	kind	source_kind	layer	defined_in
git_submodule_set_url	symbol	function_exported	1	src/libgit2/submodule.c
git_submodule_status	symbol	function_exported	1	src/libgit2/submodule.c
git_submodule_sync	symbol	function_exported	1	src/libgit2/submodule.c
git_submodule_update_strategy	symbol	function_exported	1	src/libgit2/submodule.c
git_submodule_url	symbol	function_exported	1	src/libgit2/submodule.c
git_submodule_wd_id	symbol	function_exported	1	src/libgit2/submodule.c
git_tag_create_lightweight	symbol	function_exported	1	src/libgit2/tag.c
git_tag_delete	symbol	function_exported	1	src/libgit2/tag.c
git_tag_list	symbol	function_exported	1	src/libgit2/tag.c
git_tag_list_match	symbol	function_exported	1	src/libgit2/tag.c
git_transaction_commit	symbol	function_exported	1	src/libgit2/transaction.c
git_transaction_lock_ref	symbol	function_exported	1	src/libgit2/transaction.c
git_transaction_new	symbol	function_exported	1	src/libgit2/transaction.c
git_transaction_remove	symbol	function_exported	1	src/libgit2/transaction.c
git_transaction_set_reflog	symbol	function_exported	1	src/libgit2/transaction.c
git_tree_entry_cmp	symbol	function_exported	1	src/libgit2/tree.c
git_tree_entry_filemode	symbol	function_exported	1	src/libgit2/tree.c
git_tree_entry_filemode_raw	symbol	function_exported	1	src/libgit2/tree.c
git_tree_entry_id	symbol	function_exported	1	src/libgit2/tree.c
git_tree_entry_name	symbol	function_exported	1	src/libgit2/tree.c
git_tree_entry_to_object	symbol	function_exported	1	src/libgit2/tree.c
git_tree_entry_type	symbol	function_exported	1	src/libgit2/tree.c
git_treebuilder_clear	symbol	function_exported	1	src/libgit2/tree.c
git_treebuilder_entrycount	symbol	function_exported	1	src/libgit2/tree.c
git_treebuilder_get	symbol	function_exported	1	src/libgit2/tree.c
git_treebuilder_insert	symbol	function_exported	1	src/libgit2/tree.c
git_treebuilder_remove	symbol	function_exported	1	src/libgit2/tree.c
git_treebuilder_write	symbol	function_exported	1	src/libgit2/tree.c
git_worktree_is_locked	symbol	function_exported	1	src/libgit2/worktree.c
git_worktree_is_prunable	symbol	function_exported	1	src/libgit2/worktree.c
git_worktree_list	symbol	function_exported	1	src/libgit2/worktree.c
git_worktree_lock	symbol	function_exported	1	src/libgit2/worktree.c
git_worktree_lookup	symbol	function_exported	1	src/libgit2/worktree.c
git_worktree_name	symbol	function_exported	1	src/libgit2/worktree.c
git_worktree_open_from_repository	symbol	function_exported	1	src/libgit2/worktree.c
git_worktree_path	symbol	function_exported	1	src/libgit2/worktree.c
git_worktree_prune	symbol	function_exported	1	src/libgit2/worktree.c
git_worktree_prune_options_init	symbol	function_exported	1	src/libgit2/worktree.c
git_worktree_unlock	symbol	function_exported	1	src/libgit2/worktree.c
git_worktree_validate	symbol	function_exported	1	src/libgit2/worktree.c
git_diff_parse_options	type	struct	1	include/git2/diff.h
git_index_options	type	struct	1	include/git2/index.h
git_odb_options	type	struct	1	include/git2/odb.h
git_smart_subtransport	type	struct	1	include/git2/sys/transport.h
git_checkout_notify_cb	callback	callback	2	include/git2/checkout.h
git_commit_create_cb	callback	callback	2	include/git2/commit.h
git_credential_acquire_cb	callback	callback	2	include/git2/credential.h
git_push_negotiation	callback	callback	2	include/git2/remote.h
git_transport_certificate_check_cb	callback	callback	2	include/git2/cert.h
git_blame_file	symbol	function_exported	2	src/libgit2/blame.c
git_blame_init_options	symbol	function_exported	2	src/libgit2/blame.c
git_blob_id	symbol	function_exported	2	src/libgit2/object_api.c
git_blob_is_binary	symbol	function_exported	2	src/libgit2/blob.c
git_blob_lookup	symbol	function_exported	2	src/libgit2/object_api.c
git_blob_rawcontent	symbol	function_exported	2	src/libgit2/blob.c
git_blob_rawsize	symbol	function_exported	2	src/libgit2/blob.c
git_branch_create	symbol	function_exported	2	src/libgit2/branch.c
git_commit_amend	symbol	function_exported	2	src/libgit2/commit.c
git_commit_author	symbol	function_exported	2	src/libgit2/commit.c
git_commit_author_with_mailmap	symbol	function_exported	2	src/libgit2/commit.c
git_commit_body	symbol	function_exported	2	src/libgit2/commit.c
git_commit_committer	symbol	function_exported	2	src/libgit2/commit.c
git_commit_committer_with_mailmap	symbol	function_exported	2	src/libgit2/commit.c
git_commit_create	symbol	function_exported	2	src/libgit2/commit.c
git_commit_create_buffer	symbol	function_exported	2	src/libgit2/commit.c
git_commit_header_field	symbol	function_exported	2	src/libgit2/commit.c
git_commit_id	symbol	function_exported	2	src/libgit2/object_api.c
git_commit_lookup	symbol	function_exported	2	src/libgit2/object_api.c
git_commit_lookup_prefix	symbol	function_exported	2	src/libgit2/object_api.c
git_commit_message	symbol	function_exported	2	src/libgit2/commit.c
git_commit_message_encoding	symbol	function_exported	2	src/libgit2/commit.c
git_commit_message_raw	symbol	function_exported	2	src/libgit2/commit.c
